PO_ID,Supplier_ID,Raw_Material_ID,Order_Date,Order_Quantity,Unit_Cost,Delivery_Date_Planned,Delivery_Date_Actual,Total_Cost
PO001056,SUP00053,PROD00142,2023-08-19,5,41.80620759056735,2023-08-24,2023-11-13,200.03034453405851
PO001623,SUP00040,PROD00039,2022-06-05,9,48.206107324529206,2021-03-31,2023-10-14,291.73924016461905
PO001322,SUP00080,PROD00037,2021-10-05,9,46.38456596644072,2023-08-01,2021-05-31,397.84703182352587
PO000397,SUP00046,PROD00098,2023-01-01,16,21.71670460225412,2022-10-17,2022-03-06,401.6506808150306
PO001457,SUP00007,PROD00058,2021-08-04,13,63.09938999028755,2022-03-30,2023-10-25,767.9883698390179
PO001439,SUP00037,PROD00027,2021-02-27,11,7.041106753762561,2022-11-14,2023-06-18,103.57636502290894
PO000526,SUP00054,PROD00036,2024-01-13,6,22.210120390485326,2022-03-01,2021-08-14,80.56498539855768
PO001246,SUP00026,PROD00040,2022-03-03,11,70.10599850192976,2021-09-12,2023-07-07,692.3187434186497
PO001222,SUP00064,PROD00044,2023-09-20,10,32.3084105803135,2023-11-30,2021-03-06,196.16499243241515
PO001680,SUP00030,PROD00197,2021-02-14,13,59.945552444144184,2023-07-11,2024-01-09,792.6433387947376
PO000273,SUP00001,PROD00038,2022-10-07,17,3.0652616541890225,2023-07-31,2021-05-10,54.71406085425749
PO000390,SUP00039,PROD00133,2022-01-14,6,77.03132894034577,2021-11-27,2023-09-13,757.17756794233
PO000972,SUP00007,PROD00009,2021-07-09,11,66.70087444305665,2023-05-29,2022-09-26,683.1851687163559
PO000089,SUP00009,PROD00016,2023-02-18,14,30.990988003443785,2022-07-10,2021-05-27,474.5018441738848
PO000832,SUP00066,PROD00122,2022-03-03,8,62.542680436756385,2022-09-20,2021-03-02,397.52729107077994
PO001577,SUP00074,PROD00188,2022-03-03,11,49.954641652329116,2022-03-15,2023-07-30,671.0803731806973
PO000298,SUP00031,PROD00140,2024-03-14,14,27.068534271584525,2021-08-29,2022-04-27,364.60962020467804
PO000920,SUP00077,PROD00028,2021-02-06,10,75.30630066107798,2022-08-14,2024-04-22,780.8693460715671
PO001980,SUP00090,PROD00176,2023-10-24,6,7.11626017403268,2023-12-15,2023-04-10,47.90107852749295
PO001012,SUP00080,PROD00067,2022-11-22,15,51.89063974662518,2022-05-21,2023-09-07,743.0203814699371
PO000997,SUP00057,PROD00049,2022-06-20,11,48.70170119643151,2022-10-26,2024-03-11,437.57784422635234
PO001118,SUP00082,PROD00182,2022-10-23,9,40.55353470808348,2024-03-20,2021-08-05,247.88781260137654
PO000373,SUP00013,PROD00136,2021-07-08,13,64.54042019887049,2023-11-25,2021-11-25,906.9392536653677
PO000295,SUP00020,PROD00046,2023-07-07,10,38.66314878456269,2023-09-13,2021-02-12,379.1682141304152
PO001355,SUP00037,PROD00043,2022-04-15,10,12.412848194065486,2023-09-06,2024-01-06,97.45221813052153
PO000792,SUP00046,PROD00156,2023-08-25,10,10.186647357894243,2022-06-16,2023-08-16,173.7503134841577
PO000580,SUP00023,PROD00023,2023-02-21,8,56.546550840878986,2023-09-07,2023-08-31,308.5823203471293
PO000063,SUP00071,PROD00084,2023-07-26,14,3.894188193404665,2021-03-02,2022-03-08,71.23303935194942
PO001693,SUP00022,PROD00022,2022-05-26,16,35.77580523929224,2022-07-09,2021-02-06,508.7072033102103
PO000065,SUP00058,PROD00016,2022-01-08,14,56.78983688462322,2023-04-29,2021-10-03,719.703579544332
PO001500,SUP00047,PROD00060,2022-06-22,10,43.322491973724944,2021-03-16,2023-09-20,429.0646722107364
PO000764,SUP00030,PROD00016,2022-04-14,9,9.999275430570814,2022-12-10,2022-09-29,101.79399306802452
PO001198,SUP00088,PROD00043,2021-12-31,14,77.66608973184641,2024-01-18,2021-02-06,1066.6264943947644
PO000496,SUP00061,PROD00147,2022-07-12,10,74.88006403899362,2023-11-11,2022-11-13,805.416588124778
PO000311,SUP00059,PROD00103,2023-08-16,6,35.125531285497026,2021-08-17,2023-01-03,172.9060642229318
PO001067,SUP00001,PROD00079,2021-04-26,10,55.01353961005245,2023-11-29,2022-08-07,629.7243075554312
PO001392,SUP00065,PROD00016,2022-11-01,14,14.544379866155255,2023-12-08,2022-03-20,258.6923082548667
PO000391,SUP00054,PROD00137,2024-02-29,11,60.5089812110199,2023-05-02,2022-08-08,677.8942236502273
PO000873,SUP00029,PROD00184,2024-03-05,8,51.46939256810984,2023-04-10,2024-02-03,369.5964236977945
PO000890,SUP00017,PROD00186,2023-01-16,18,7.779863744803041,2024-01-26,2024-02-17,420.5794956507956
PO000432,SUP00016,PROD00114,2022-05-16,11,67.91156687410356,2023-04-21,2023-02-28,659.0124936280087
PO001131,SUP00095,PROD00153,2023-06-11,12,49.48785506282738,2023-06-09,2021-03-17,684.255380968787
PO000292,SUP00072,PROD00147,2023-10-08,10,70.93874208055281,2021-05-13,2021-08-09,578.1241114145171
PO001020,SUP00003,PROD00076,2023-03-04,8,60.25512376160865,2024-02-13,2021-03-28,443.81913957738277
PO000227,SUP00035,PROD00159,2024-03-02,12,67.23307979361043,2021-02-19,2023-03-12,654.5739036141255
PO000972,SUP00042,PROD00109,2021-02-27,20,55.39376900113559,2023-04-10,2023-11-10,856.9425981055133
PO000624,SUP00098,PROD00165,2022-01-01,18,36.871755798136306,2022-11-05,2022-05-10,902.9393870741325
PO000905,SUP00081,PROD00069,2023-08-08,11,70.55588911809883,2022-07-24,2021-05-02,818.1809737760366
PO000868,SUP00024,PROD00022,2023-08-11,6,14.526104901034456,2024-01-09,2021-10-26,64.84251064370838
PO001816,SUP00038,PROD00120,2021-12-19,11,18.5577201659347,2022-10-17,2022-07-24,195.97791212176185
PO000980,SUP00090,PROD00104,2023-03-28,7,62.033510278334816,2024-01-30,2023-10-27,445.94084657593766
PO001637,SUP00072,PROD00091,2023-12-31,12,47.683677561245176,2021-12-22,2023-09-19,484.96142284002923
PO000452,SUP00088,PROD00020,2023-09-10,13,17.58216610932517,2021-01-29,2021-09-25,284.53118633094135
PO000705,SUP00076,PROD00170,2023-10-01,10,31.650734993526395,2021-02-10,2023-06-12,312.4447005495308
PO000151,SUP00015,PROD00006,2021-11-06,13,55.79889384884422,2022-10-11,2023-04-14,673.9732763148546
PO000842,SUP00007,PROD00031,2022-11-15,12,3.3520074735094694,2023-12-10,2022-09-03,47.870750474078896
PO001338,SUP00066,PROD00100,2022-05-30,9,68.09375165795326,2022-03-24,2024-04-03,729.6367796652702
PO001677,SUP00030,PROD00022,2023-04-21,12,33.62826714784334,2023-12-31,2024-04-01,278.91246720490113
PO001132,SUP00037,PROD00163,2023-03-01,11,17.112207121316374,2023-07-30,2021-01-17,147.4564290172381
PO001281,SUP00092,PROD00125,2023-12-23,12,50.58984393724212,2021-03-04,2022-03-27,582.249044008906
PO000355,SUP00062,PROD00016,2024-03-02,11,51.6969788257354,2022-04-01,2022-05-06,509.0141091733759
PO000075,SUP00004,PROD00128,2023-03-09,16,26.76634901608728,2021-09-21,2021-04-26,283.1707657242924
PO001584,SUP00037,PROD00091,2022-07-29,12,45.1091325108458,2023-09-09,2021-04-28,513.4180252829331
PO000335,SUP00079,PROD00134,2023-06-16,7,68.65265696038288,2021-07-26,2024-02-14,552.4867152213018
PO000183,SUP00027,PROD00077,2023-11-24,5,16.551829223183187,2023-11-13,2023-01-13,74.2659800806283
PO001876,SUP00098,PROD00037,2023-08-15,11,54.171856508407224,2021-11-15,2023-12-25,484.9197181652047
PO001928,SUP00059,PROD00192,2021-10-28,15,31.49144799944719,2021-01-30,2021-08-30,561.5846938274393
PO001233,SUP00099,PROD00032,2021-04-17,12,4.097076130360792,2021-07-31,2024-02-18,69.97856913624346
PO000758,SUP00092,PROD00086,2023-03-05,10,5.5684088776031375,2023-09-20,2024-03-10,72.85373518741582
PO001667,SUP00099,PROD00059,2023-07-30,12,51.13849571480469,2023-04-11,2021-02-15,487.9290913258046
PO000410,SUP00063,PROD00005,2021-02-18,6,29.27852957485672,2023-01-24,2023-11-26,176.6572093438282
PO000859,SUP00097,PROD00083,2022-03-15,15,29.083662002725603,2022-03-16,2021-07-13,517.9777426841357
PO000715,SUP00028,PROD00041,2024-04-09,11,5.8426791360803385,2023-04-10,2021-08-30,48.40976384797119
PO001826,SUP00019,PROD00079,2022-09-28,8,59.12873050882001,2021-08-16,2023-12-02,411.6592255811954
PO001840,SUP00052,PROD00133,2022-06-16,11,7.680330792615389,2021-12-16,2023-11-03,77.56495318810674
PO001302,SUP00096,PROD00171,2024-01-04,13,67.39089124648748,2021-07-06,2021-12-26,723.2128491703571
PO000222,SUP00082,PROD00195,2022-10-16,12,51.65747352056582,2021-04-24,2024-01-23,707.6309459832022
PO000965,SUP00044,PROD00019,2023-03-16,5,54.79618364212537,2023-07-05,2023-10-09,249.3615728704001
PO000491,SUP00065,PROD00110,2021-03-12,12,29.621361010781445,2022-08-21,2023-05-09,462.7571322441364
PO001770,SUP00037,PROD00078,2023-03-05,12,78.09737257155761,2023-12-22,2022-05-18,1141.097155648992
PO000277,SUP00005,PROD00063,2023-08-21,18,60.634601356752746,2023-04-12,2023-06-25,962.4309548193513
PO000109,SUP00012,PROD00069,2021-02-16,8,25.347673409458768,2021-01-29,2024-01-12,212.01688998167265
PO001409,SUP00079,PROD00040,2021-04-16,10,14.198349042864832,2021-08-01,2023-07-02,150.32479939448027
PO000907,SUP00030,PROD00125,2023-01-16,8,46.93670080684146,2023-07-22,2023-05-19,327.2342095561467
PO001677,SUP00022,PROD00105,2022-01-31,12,37.7781750940731,2023-05-15,2024-04-13,513.7840387815501
PO000150,SUP00036,PROD00180,2022-01-21,12,63.643678729524126,2021-11-03,2022-04-20,825.3232915212076
PO001603,SUP00052,PROD00196,2024-01-06,10,67.20263403435605,2021-04-14,2021-03-06,693.727553926769
PO000075,SUP00097,PROD00059,2021-01-22,9,17.36835492362862,2022-12-15,2023-05-25,226.2073365750731
PO000057,SUP00087,PROD00044,2024-03-09,12,12.511668064504544,2021-07-03,2022-04-24,204.33025789810856
PO000923,SUP00083,PROD00184,2024-03-06,8,6.035526038668333,2022-05-09,2021-06-22,31.850695656745316
PO000443,SUP00098,PROD00123,2022-03-28,7,11.98657292679901,2021-09-05,2023-05-15,77.39785453994988
PO001188,SUP00047,PROD00003,2022-08-11,5,32.29223522861418,2023-09-13,2023-09-01,87.39445984514975
PO000052,SUP00049,PROD00139,2023-07-04,11,76.67144610781001,2021-12-09,2021-10-19,966.7106352785871
PO000071,SUP00003,PROD00151,2022-03-05,11,29.142093974777104,2022-11-12,2021-08-12,224.87972461739898
PO001455,SUP00037,PROD00026,2021-06-01,15,78.22125153343768,2023-01-23,2024-03-28,1189.7754942224362
PO000421,SUP00058,PROD00101,2023-06-12,12,21.237421344798726,2022-07-19,2023-10-07,286.3650598173663
PO001313,SUP00032,PROD00009,2022-07-14,10,18.674505758376135,2021-08-07,2022-08-03,224.86466686280278
PO001500,SUP00007,PROD00098,2021-06-18,11,60.37892458415535,2023-01-16,2024-01-25,680.7380318219783
PO000119,SUP00095,PROD00081,2024-02-25,9,24.74642546729893,2021-07-01,2022-03-16,209.72811430427936
PO001540,SUP00073,PROD00072,2024-01-29,11,47.855286704611444,2023-06-11,2023-11-10,546.6569686470929
PO000537,SUP00013,PROD00004,2022-01-19,10,79.3783360958869,2022-01-21,2022-07-16,1020.5943999965457
PO000780,SUP00099,PROD00172,2021-05-11,12,79.01637506872565,2023-03-25,2021-08-05,1234.9797298654353
PO000174,SUP00040,PROD00082,2023-02-22,12,43.4542413360837,2023-02-10,2022-06-24,562.1347894337599
PO001678,SUP00015,PROD00177,2022-10-23,9,10.913885307714677,2021-12-25,2021-04-22,126.12362551911315
PO001122,SUP00027,PROD00151,2021-04-16,9,52.55870425986057,2022-03-30,2024-01-26,369.96318545385094
PO001010,SUP00046,PROD00171,2022-12-02,10,76.7904688107875,2022-11-08,2021-06-15,894.6708147766429
PO001938,SUP00091,PROD00017,2022-05-11,15,10.190744439533043,2021-12-30,2023-03-28,166.2844729774493
PO000670,SUP00087,PROD00148,2022-05-27,7,44.11975367305826,2021-11-04,2023-07-02,314.65742837500534
PO001782,SUP00082,PROD00169,2021-02-17,6,63.80208061228658,2022-04-10,2022-03-02,497.33888149329727
PO001440,SUP00032,PROD00133,2022-11-26,10,64.69142240369602,2023-02-26,2021-02-14,580.3241110948679
PO001858,SUP00081,PROD00112,2023-09-16,13,53.57328901060981,2021-12-08,2023-06-11,642.8105035209221
PO001816,SUP00068,PROD00004,2021-08-10,11,24.95413894827891,2023-12-15,2021-09-28,371.26458596362096
PO001983,SUP00075,PROD00036,2022-12-28,7,63.968326409581245,2021-08-24,2021-05-14,577.4381267961262
PO000264,SUP00019,PROD00137,2023-09-30,15,33.937435792964216,2021-07-12,2021-07-11,550.1670502015143
PO001593,SUP00054,PROD00153,2021-04-14,12,33.82468439233432,2023-06-19,2021-09-25,547.5635803883541
PO001609,SUP00033,PROD00109,2022-12-16,8,5.092913853291411,2021-02-07,2023-03-19,46.42711360323379
PO001289,SUP00085,PROD00105,2024-01-29,7,24.691867289536482,2022-03-14,2023-08-14,150.11868972900942
PO000558,SUP00075,PROD00027,2021-04-16,12,41.424664256911015,2023-05-17,2023-10-05,392.01814034685754
PO001931,SUP00087,PROD00094,2023-08-09,7,79.34254540539786,2023-02-14,2022-07-03,896.5825039577646
PO000409,SUP00086,PROD00006,2021-01-09,10,51.64671951075809,2023-11-28,2023-02-15,665.9227726076145
PO001000,SUP00099,PROD00012,2023-09-05,7,25.287403178800194,2021-02-20,2021-09-07,144.538470831371
PO001043,SUP00031,PROD00142,2024-03-29,11,55.03016748653874,2024-01-16,2023-03-12,564.9721816107215
PO000324,SUP00067,PROD00074,2022-07-25,9,26.932025917714032,2022-07-03,2023-11-23,273.1151042695719
PO001446,SUP00053,PROD00127,2023-06-30,12,61.336960110319716,2022-06-13,2021-07-14,901.5908222494965
PO000178,SUP00039,PROD00003,2021-10-24,15,18.34379406462288,2021-04-22,2022-03-10,358.898027998297
PO001387,SUP00019,PROD00113,2022-02-20,10,28.02389557895693,2022-01-17,2022-09-18,246.47998363115508
PO001698,SUP00030,PROD00038,2023-02-08,14,57.843651400970806,2023-03-31,2023-10-14,661.8399661780697
PO000699,SUP00037,PROD00046,2023-09-30,13,13.722763287435374,2024-02-13,2023-01-18,242.467596603968
PO001419,SUP00094,PROD00169,2021-07-13,13,44.63761057682222,2022-04-10,2022-01-03,505.47183525859964
PO000314,SUP00076,PROD00152,2021-12-27,5,43.03963780293655,2022-08-16,2022-09-25,160.59255462295235
PO001692,SUP00017,PROD00136,2022-04-23,9,79.00534636866409,2022-12-27,2022-12-14,1146.2676713598528
PO001905,SUP00080,PROD00012,2021-09-08,8,32.25984950411496,2021-07-19,2023-11-25,143.05800914809177
PO000306,SUP00017,PROD00106,2023-04-26,13,79.46941741433152,2023-05-13,2024-01-30,1543.4128253174265
PO001384,SUP00090,PROD00108,2022-04-14,9,36.12810215316844,2021-08-23,2022-09-17,301.37336678932843
PO001012,SUP00018,PROD00123,2022-10-19,12,74.82599276349299,2021-07-11,2022-06-15,937.8650875636979
PO001063,SUP00072,PROD00036,2023-09-27,13,32.110256932369104,2021-05-01,2021-09-07,464.91678175437244
PO001413,SUP00006,PROD00113,2023-03-20,8,30.668037733640368,2021-09-18,2024-03-29,254.8064125257183
PO000978,SUP00020,PROD00030,2023-02-20,6,16.998588226295013,2023-05-15,2023-11-23,66.18581563502806
PO001201,SUP00058,PROD00060,2021-03-11,8,11.593966993680533,2022-07-30,2022-07-28,125.88456784361327
PO000462,SUP00025,PROD00179,2022-01-11,16,33.1647112732112,2022-04-02,2024-05-02,580.0237033551152
PO000758,SUP00060,PROD00001,2022-06-19,15,17.52996925047141,2023-03-26,2023-05-20,329.14739719192227
PO001731,SUP00059,PROD00044,2024-04-03,11,66.88450633527441,2022-02-28,2021-03-18,753.2396735445881
PO000220,SUP00079,PROD00027,2021-04-20,15,70.32001609012708,2021-02-27,2022-12-26,915.6754094111653
PO001196,SUP00050,PROD00044,2023-11-08,4,46.306224553732186,2023-03-18,2023-11-03,110.95336183942663
PO000369,SUP00031,PROD00016,2022-06-03,11,77.22804512886628,2022-12-30,2023-12-24,984.713803128176
PO001694,SUP00042,PROD00128,2021-05-31,10,50.54108885580631,2021-02-09,2022-03-28,472.2122249760822
PO001159,SUP00065,PROD00021,2023-08-09,8,47.75765039751879,2022-12-27,2022-03-08,379.2961115711498
PO000807,SUP00064,PROD00057,2021-06-30,11,18.926984542481716,2021-06-12,2023-01-30,248.15349021931365
PO000500,SUP00073,PROD00171,2023-11-24,17,12.812991163805028,2023-07-29,2021-07-12,328.53112200495264
PO000874,SUP00052,PROD00192,2023-01-22,9,61.154513509665215,2021-03-28,2024-03-23,476.97435237918086
PO001916,SUP00071,PROD00004,2022-09-25,10,74.86891788389666,2023-08-15,2021-12-17,824.2873937005156
PO001019,SUP00005,PROD00157,2021-09-09,11,34.62072317614728,2021-08-01,2021-02-03,289.4241434069479
PO000939,SUP00013,PROD00016,2021-08-06,12,13.754161593761303,2022-08-16,2022-10-07,174.34670421018865
PO001493,SUP00031,PROD00151,2022-01-14,13,51.273008445183216,2022-07-05,2021-06-06,662.0233815010297
PO000759,SUP00019,PROD00086,2023-11-06,13,72.50073757554819,2023-11-23,2023-07-12,910.9846515033697
PO000855,SUP00012,PROD00003,2022-06-18,13,64.19481228101692,2021-07-01,2024-04-01,678.4668500689443
PO000674,SUP00015,PROD00086,2022-05-16,13,6.358749578041558,2024-03-29,2022-11-09,96.90887154490161
PO000302,SUP00046,PROD00134,2022-10-13,5,64.55144130012441,2023-01-13,2022-03-02,266.2619703647414
PO001428,SUP00097,PROD00029,2023-11-18,8,59.87497787749122,2024-01-26,2022-09-12,547.9503284750492
PO001747,SUP00027,PROD00064,2022-03-06,6,13.034348557870125,2023-08-09,2023-12-25,42.296256714976266
PO001812,SUP00065,PROD00160,2021-02-07,16,19.2638506587697,2022-03-25,2021-04-30,304.792193466463
PO001762,SUP00030,PROD00161,2022-01-31,17,18.205019769856175,2022-02-19,2022-01-08,288.09989056595094
PO000904,SUP00011,PROD00150,2022-05-19,11,73.3638129473397,2021-03-07,2023-03-15,818.8894196761511
PO000569,SUP00028,PROD00192,2022-01-30,11,23.85812913359699,2023-01-13,2022-10-14,152.68487433494738
PO001276,SUP00040,PROD00078,2021-04-12,8,31.66983556048114,2022-08-04,2022-05-08,306.62585006297013
PO001910,SUP00074,PROD00055,2023-12-14,10,62.421265381043575,2023-07-30,2021-03-28,665.4444782811681
PO001455,SUP00063,PROD00043,2021-01-16,11,22.161508788036663,2023-02-08,2022-04-26,165.25905715006016
PO000990,SUP00080,PROD00022,2022-11-24,7,41.167494489794954,2022-11-21,2021-09-16,266.89253896042015
PO001378,SUP00092,PROD00088,2023-09-22,15,70.12707417251221,2023-03-23,2022-12-27,857.2159506620586
PO001546,SUP00009,PROD00070,2022-12-01,15,62.60940584242724,2021-07-31,2021-08-15,854.5960363134567
PO001839,SUP00045,PROD00174,2023-12-04,16,40.50386640687005,2022-12-22,2021-08-04,614.8058537110959
PO001527,SUP00069,PROD00103,2021-06-09,12,39.88450156516339,2022-09-03,2024-01-09,383.37270541643045
PO000867,SUP00052,PROD00076,2022-03-29,9,38.16796952347315,2023-05-17,2022-05-23,264.8217814861013
PO000548,SUP00041,PROD00009,2021-06-16,7,27.835857243922685,2022-08-23,2024-03-08,70.81892335789647
PO001000,SUP00064,PROD00115,2021-04-26,17,3.396361938350696,2022-08-27,2023-09-22,72.8126728602645
PO000657,SUP00033,PROD00136,2022-07-31,13,77.42666763764753,2022-03-11,2022-09-24,1044.016399468591
PO001886,SUP00039,PROD00116,2022-08-05,8,58.21013917708922,2022-02-22,2023-07-10,505.39793587348305
PO001016,SUP00076,PROD00181,2022-11-24,6,45.88299135826978,2023-04-06,2024-02-19,283.4102030537574
PO000945,SUP00098,PROD00108,2023-11-26,9,5.271251743751549,2022-09-19,2022-12-08,43.72510282507158
PO000697,SUP00027,PROD00031,2022-09-28,13,43.19072206679324,2023-11-19,2021-03-18,395.224297815933
PO001279,SUP00009,PROD00118,2021-06-18,9,36.81068742474486,2023-10-03,2021-11-10,430.9374856586467
PO001041,SUP00083,PROD00021,2023-12-31,17,27.933218648264013,2021-08-31,2021-09-22,430.3612291758765
PO000259,SUP00037,PROD00115,2022-07-20,11,25.552087941581018,2022-05-22,2021-05-13,225.30014623570608
PO001739,SUP00018,PROD00165,2022-05-02,14,22.798404969181494,2024-03-30,2021-05-07,355.4329464950922
PO000719,SUP00057,PROD00044,2022-12-27,14,75.66410280711139,2022-08-27,2021-10-30,941.7694322324563
PO000866,SUP00039,PROD00102,2022-11-23,11,56.089641745831464,2022-04-13,2022-08-05,465.02591340019586
PO000412,SUP00053,PROD00172,2024-03-17,15,72.25155766603986,2021-10-15,2022-03-02,932.132397586157
PO001107,SUP00023,PROD00148,2021-08-16,17,77.47295492441228,2022-08-23,2022-07-03,1298.6531099283084
PO001405,SUP00039,PROD00094,2022-07-07,8,69.94484568869893,2022-10-07,2023-05-23,706.816473935074
PO001763,SUP00058,PROD00128,2021-08-23,18,9.097533806142474,2022-09-07,2023-03-20,332.0872409371571
PO000104,SUP00018,PROD00161,2023-11-03,10,31.177928070317027,2023-01-13,2022-07-19,329.2668368625227
PO001947,SUP00090,PROD00050,2021-01-09,14,14.56432705586828,2021-06-01,2023-06-22,226.92345589853252
PO001408,SUP00046,PROD00006,2021-02-27,10,55.90554105092155,2023-11-23,2022-09-05,599.9864347592387
PO000569,SUP00071,PROD00159,2022-01-04,8,14.201509033235817,2021-10-26,2022-04-17,80.5335057776134
PO000409,SUP00093,PROD00173,2023-11-03,10,33.31604726173972,2022-02-19,2021-08-06,358.96035172087767
PO000593,SUP00049,PROD00043,2023-08-31,12,79.33603112851819,2021-04-09,2021-02-27,1148.8271660890518
PO001752,SUP00028,PROD00014,2021-02-01,11,79.45555852757332,2021-05-01,2022-08-22,1161.0984232021942
PO000583,SUP00054,PROD00200,2022-11-30,15,32.65971762864398,2021-05-12,2022-03-16,477.5275126985737
PO000926,SUP00058,PROD00161,2021-08-24,12,63.54898066513697,2023-10-04,2022-12-15,801.620938359225
PO001412,SUP00100,PROD00140,2022-01-07,10,71.50265281518067,2023-01-28,2021-09-16,762.6413666699705
PO001744,SUP00065,PROD00047,2022-06-26,13,39.463404533929584,2024-02-13,2023-07-12,495.59151913508344
PO001318,SUP00015,PROD00152,2022-09-10,7,37.304246201777524,2022-03-16,2024-01-05,220.925173730213
PO001507,SUP00017,PROD00051,2021-02-21,8,65.05103345059868,2021-12-30,2021-06-28,418.89888524229985
PO000347,SUP00027,PROD00104,2021-03-13,9,31.597587014388456,2021-03-02,2021-07-13,196.7832370799622
PO001755,SUP00099,PROD00133,2021-01-30,15,36.4672987523464,2022-02-25,2024-01-19,369.782438759435
PO000552,SUP00047,PROD00093,2021-09-08,10,75.4272040304616,2024-03-28,2021-03-18,971.4946159633575
PO000257,SUP00093,PROD00168,2023-10-15,13,28.009673746645237,2023-05-06,2022-09-09,292.17860744701767
PO001953,SUP00048,PROD00054,2023-05-27,14,62.43770190886316,2023-03-15,2021-02-21,793.9655621410247
PO000404,SUP00065,PROD00021,2022-06-02,10,29.277434320792235,2023-03-17,2022-09-23,266.9366087539549
PO000274,SUP00030,PROD00140,2022-08-21,13,25.356776131504787,2022-11-10,2022-07-29,396.9247506032121
PO001253,SUP00048,PROD00121,2022-03-07,7,79.13143321464442,2024-03-18,2022-12-20,997.1610041692448
