shipment_id,po_id,destination,transport_mode,shipment_date,delivery_date,delivery_performance,shipment_status
SHIP00070,PO00070,Pune DC,Road,2025-05-30,2025-06-05,Delayed,Delivered
SHIP00071,PO00071,JNPT,Rail,2026-03-09,2026-03-16,Delayed,Delivered
SHIP00072,PO00072,Hyderabad DC,Road,2026-06-27,2026-07-04,On Time,Delivered
SHIP00073,PO00073,Pune DC,Air,2026-05-09,2026-05-14,On Time,Delivered
SHIP00074,PO00074,Hyderabad DC,Air,2025-01-29,2025-02-07,On Time,Delivered
SHIP00075,PO00075,JNPT,Air,2025-04-27,2025-05-01,On Time,Delivered
SHIP00076,PO00076,Delhi ICD,Rail,2025-12-19,2025-12-25,On Time,Delivered
SHIP00077,PO00077,Hyderabad DC,Air,2025-07-11,2025-07-20,On Time,Delivered
SHIP00078,PO00078,Delhi ICD,Sea,2025-08-05,2025-08-16,On Time,Delivered
SHIP00079,PO00079,Bengaluru DC,Air,2026-07-15,2026-07-20,On Time,Delivered
SHIP00080,PO00080,Hyderabad DC,Sea,2026-01-02,2026-01-12,On Time,Delivered
SHIP00081,PO00081,Hyderabad DC,Rail,2026-03-27,,On Time,Cancelled
SHIP00082,PO00082,Chennai Port,Sea,2025-07-20,2025-07-27,On Time,Delivered
SHIP00083,PO00083,Chennai Port,Road,2025-10-10,2025-10-19,On Time,Delivered
SHIP00084,PO00084,JNPT,Rail,2025-07-06,2025-07-12,On Time,Delivered
SHIP00085,PO00085,Hyderabad DC,Rail,2025-11-09,2025-11-25,On Time,Delayed
SHIP00086,PO00086,Mumbai Port,Rail,2026-04-08,2026-04-20,Delayed,Delivered
SHIP00087,PO00087,Chennai Port,Road,2026-03-28,,At Risk,In Transit
SHIP00088,PO00088,Bengaluru DC,Road,2026-01-17,2026-01-27,At Risk,Delivered
SHIP00089,PO00089,JNPT,Rail,2026-03-26,2026-04-05,On Time,Delivered
SHIP00090,PO00090,Pune DC,Rail,2026-01-18,2026-01-30,On Time,Delivered
SHIP00091,PO00091,Bengaluru DC,Air,2026-01-27,2026-01-29,On Time,Delivered
SHIP00092,PO00092,JNPT,Air,2026-02-14,2026-03-01,On Time,Delayed
SHIP00093,PO00093,Chennai Port,Sea,2025-07-14,2025-07-25,On Time,Delivered
SHIP00094,PO00094,Mumbai Port,Rail,2025-09-25,2025-10-07,On Time,Delivered
SHIP00095,PO00095,Mumbai Port,Rail,2026-05-26,2026-05-31,On Time,Delivered
SHIP00096,PO00096,Chennai Port,Road,2026-04-06,2026-04-17,On Time,Delivered
SHIP00097,PO00097,Bengaluru DC,Sea,2026-07-26,2026-08-14,At Risk,Delayed
SHIP00098,PO00098,Chennai Port,Rail,2025-07-03,2025-07-24,On Time,Delayed
SHIP00099,PO00099,Delhi ICD,Air,2025-05-31,2025-06-12,Delayed,Delivered
SHIP00100,PO00100,Bengaluru DC,Air,2026-04-28,2026-05-10,On Time,Delivered
SHIP00101,PO00101,JNPT,Sea,2026-05-08,,On Time,Cancelled
SHIP00102,PO00102,JNPT,Road,2025-11-30,2025-12-04,Delayed,Delivered
SHIP00103,PO00103,Delhi ICD,Rail,2025-05-23,2025-06-01,On Time,Delivered
SHIP00104,PO00104,Delhi ICD,Air,2026-03-22,2026-04-10,On Time,Delayed
SHIP00105,PO00105,Delhi ICD,Rail,2025-06-24,2025-07-06,On Time,Delivered
SHIP00106,PO00106,Pune DC,Sea,2025-10-21,2025-10-26,Delayed,Delivered
SHIP00107,PO00107,JNPT,Air,2025-05-12,,At Risk,In Transit
SHIP00108,PO00108,Pune DC,Sea,2026-09-07,,Delayed,In Transit
SHIP00109,PO00109,Chennai Port,Air,2025-12-17,2025-12-23,On Time,Delivered
SHIP00110,PO00110,Pune DC,Air,2026-08-19,2026-08-26,On Time,Delivered
SHIP00111,PO00111,Mumbai Port,Sea,2025-02-08,2025-02-16,On Time,Delivered
SHIP00112,PO00112,Chennai Port,Air,2026-05-17,2026-05-21,On Time,Delivered
SHIP00113,PO00113,Hyderabad DC,Air,2025-03-15,2025-03-27,On Time,Delivered
SHIP00114,PO00114,Pune DC,Sea,2025-06-03,2025-06-11,On Time,Delivered
SHIP00115,PO00115,Bengaluru DC,Sea,2026-02-22,2026-03-13,Delayed,Delayed
SHIP00116,PO00116,Delhi ICD,Sea,2025-09-07,2025-09-11,At Risk,Delivered
SHIP00117,PO00117,Pune DC,Sea,2025-03-03,2025-03-05,On Time,Delivered
SHIP00118,PO00118,Bengaluru DC,Sea,2025-06-25,2025-07-01,On Time,Delivered
SHIP00119,PO00119,Delhi ICD,Air,2026-06-13,,On Time,In Transit
SHIP00120,PO00120,Hyderabad DC,Road,2026-02-12,2026-02-16,On Time,Delivered
SHIP00121,PO00121,Pune DC,Rail,2025-03-05,2025-03-09,On Time,Delivered
SHIP00122,PO00122,Chennai Port,Rail,2026-05-07,2026-05-10,On Time,Delivered
SHIP00123,PO00123,Bengaluru DC,Air,2025-10-07,2025-10-28,On Time,Delayed
SHIP00124,PO00124,Pune DC,Air,2026-08-10,2026-08-25,At Risk,Delayed
SHIP00125,PO00125,Chennai Port,Rail,2026-06-07,,On Time,Pending
SHIP00126,PO00126,Delhi ICD,Rail,2025-05-10,2025-05-17,On Time,Delivered
SHIP00127,PO00127,Hyderabad DC,Road,2026-08-07,2026-08-18,On Time,Delivered
SHIP00128,PO00128,Pune DC,Sea,2026-06-08,2026-06-16,Delayed,Delivered
SHIP00129,PO00129,Delhi ICD,Road,2026-05-10,2026-05-20,On Time,Delivered
SHIP00130,PO00130,Pune DC,Air,2025-12-03,,Delayed,Pending
SHIP00131,PO00131,Hyderabad DC,Road,2025-11-11,2025-11-18,Delayed,Delivered
SHIP00132,PO00132,Pune DC,Road,2026-08-10,2026-08-20,On Time,Delivered
SHIP00133,PO00133,Bengaluru DC,Sea,2026-03-12,2026-03-27,On Time,Delayed
SHIP00134,PO00134,Pune DC,Air,2026-08-20,2026-09-15,On Time,Delayed
SHIP00135,PO00135,Mumbai Port,Rail,2026-02-06,2026-02-13,On Time,Delivered
SHIP00136,PO00136,Mumbai Port,Sea,2025-04-29,2025-05-07,On Time,Delivered
SHIP00137,PO00137,Chennai Port,Road,2025-07-29,,On Time,In Transit
SHIP00138,PO00138,Pune DC,Rail,2025-03-11,2025-03-17,On Time,Delivered
SHIP00139,PO00139,Hyderabad DC,Rail,2026-05-11,2026-05-23,Delayed,Delivered
SHIP00140,PO00140,Hyderabad DC,Rail,2026-07-10,,On Time,Pending
SHIP00141,PO00141,Mumbai Port,Road,2025-10-01,2025-10-05,On Time,Delivered
SHIP00142,PO00142,Delhi ICD,Road,2025-11-03,2025-12-03,On Time,Delayed
SHIP00143,PO00143,Hyderabad DC,Rail,2026-05-22,,On Time,Pending
SHIP00144,PO00144,JNPT,Rail,2025-10-11,2025-10-17,Delayed,Delivered
SHIP00145,PO00145,Mumbai Port,Sea,2026-02-10,2026-02-19,On Time,Delivered
SHIP00146,PO00146,JNPT,Sea,2025-04-03,,On Time,Pending
SHIP00147,PO00147,Pune DC,Sea,2026-07-14,2026-07-19,On Time,Delivered
SHIP00148,PO00148,Bengaluru DC,Road,2026-08-26,2026-08-30,On Time,Delivered
SHIP00149,PO00149,Hyderabad DC,Air,2025-08-31,2025-09-09,Delayed,Delivered
SHIP00150,PO00150,Mumbai Port,Air,2025-05-27,2025-06-01,On Time,Delivered
SHIP00151,PO00151,Mumbai Port,Road,2026-05-12,2026-05-21,On Time,Delivered
SHIP00152,PO00152,Delhi ICD,Air,2025-10-27,2025-10-30,At Risk,Delivered
SHIP00153,PO00153,Delhi ICD,Rail,2025-02-10,2025-02-22,At Risk,Delivered
SHIP00154,PO00154,Pune DC,Sea,2026-02-13,,Delayed,In Transit
SHIP00155,PO00155,Delhi ICD,Air,2026-08-06,,On Time,Pending
SHIP00156,PO00156,JNPT,Rail,2026-07-15,2026-07-17,On Time,Delivered
SHIP00157,PO00157,Bengaluru DC,Rail,2025-07-25,2025-08-08,Delayed,Delayed
SHIP00158,PO00158,Chennai Port,Rail,2025-07-21,2025-08-01,On Time,Delivered
SHIP00159,PO00159,JNPT,Rail,2025-07-20,,On Time,Pending
SHIP00160,PO00160,Chennai Port,Rail,2025-04-01,2025-04-14,On Time,Delayed
SHIP00161,PO00161,Bengaluru DC,Air,2025-12-09,2025-12-15,On Time,Delivered
SHIP00162,PO00162,Mumbai Port,Rail,2025-10-02,2025-10-11,At Risk,Delivered
SHIP00163,PO00163,Hyderabad DC,Rail,2026-01-05,2026-01-16,On Time,Delivered
SHIP00164,PO00164,Mumbai Port,Sea,2025-06-14,2025-06-19,At Risk,Delivered
SHIP00165,PO00165,Chennai Port,Sea,2025-11-17,,Delayed,Pending
SHIP00166,PO00166,Pune DC,Road,2025-05-26,2025-06-06,On Time,Delivered
SHIP00167,PO00167,Delhi ICD,Rail,2026-03-10,,On Time,Pending
SHIP00168,PO00168,Hyderabad DC,Road,2025-08-21,2025-09-01,On Time,Delivered
SHIP00169,PO00169,JNPT,Rail,2026-04-15,2026-05-04,On Time,Delayed
SHIP00170,PO00170,Hyderabad DC,Road,2025-03-08,2025-03-11,On Time,Delivered
SHIP00171,PO00171,Mumbai Port,Rail,2025-12-07,,On Time,Pending
SHIP00172,PO00172,Delhi ICD,Sea,2026-05-19,2026-06-10,On Time,Delayed
SHIP00173,PO00173,Pune DC,Rail,2026-06-19,2026-06-25,On Time,Delivered
SHIP00174,PO00174,Bengaluru DC,Road,2025-11-18,,Delayed,In Transit
SHIP00175,PO00175,Pune DC,Rail,2025-08-19,,At Risk,In Transit
SHIP00176,PO00176,Pune DC,Rail,2026-07-10,2026-07-12,On Time,Delivered
SHIP00177,PO00177,Chennai Port,Air,2025-05-25,2025-06-03,On Time,Delivered
SHIP00178,PO00178,Chennai Port,Air,2026-04-15,2026-04-20,On Time,Delivered
SHIP00179,PO00179,Delhi ICD,Air,2026-07-09,2026-08-07,At Risk,Delayed
SHIP00180,PO00180,Pune DC,Sea,2026-02-10,2026-02-19,On Time,Delivered
SHIP00181,PO00181,Pune DC,Air,2025-11-13,,On Time,Pending
SHIP00182,PO00182,Bengaluru DC,Rail,2025-08-30,2025-09-01,On Time,Delivered
SHIP00183,PO00183,Bengaluru DC,Air,2025-05-04,2025-05-20,On Time,Delayed
SHIP00184,PO00184,Bengaluru DC,Road,2025-01-23,2025-01-31,At Risk,Delivered
SHIP00185,PO00185,JNPT,Rail,2025-02-28,2025-03-10,Delayed,Delivered
SHIP00186,PO00186,Hyderabad DC,Air,2025-08-15,2025-09-03,On Time,Delayed
SHIP00187,PO00187,Bengaluru DC,Road,2025-08-31,2025-09-10,Delayed,Delivered
SHIP00188,PO00188,JNPT,Air,2025-12-01,2025-12-11,On Time,Delivered
SHIP00189,PO00189,Pune DC,Rail,2026-03-11,2026-03-23,Delayed,Delivered
SHIP00190,PO00190,Chennai Port,Rail,2025-07-11,2025-07-22,On Time,Delivered
SHIP00191,PO00191,Chennai Port,Sea,2025-12-26,2026-01-05,On Time,Delivered
SHIP00192,PO00192,Delhi ICD,Road,2026-03-06,,On Time,In Transit
SHIP00193,PO00193,JNPT,Road,2026-05-12,2026-05-18,On Time,Delivered
SHIP00194,PO00194,Pune DC,Rail,2026-04-27,2026-05-06,Delayed,Delivered
SHIP00195,PO00195,Hyderabad DC,Sea,2025-05-22,2025-05-26,On Time,Delivered
SHIP00196,PO00196,Mumbai Port,Rail,2026-04-10,2026-04-17,At Risk,Delivered
SHIP00197,PO00197,Mumbai Port,Rail,2025-10-07,2025-10-15,On Time,Delivered
SHIP00198,PO00198,Pune DC,Air,2025-07-15,,On Time,In Transit
SHIP00199,PO00199,Mumbai Port,Sea,2025-12-09,2025-12-19,On Time,Delivered
SHIP00200,PO00200,Bengaluru DC,Sea,2025-05-09,2025-05-12,On Time,Delivered
SHIP00201,PO00201,Mumbai Port,Sea,2025-08-10,2025-08-16,Delayed,Delivered
SHIP00202,PO00202,Chennai Port,Rail,2026-04-28,2026-05-07,Delayed,Delivered
SHIP00203,PO00203,Chennai Port,Air,2026-06-06,,On Time,Pending
SHIP00204,PO00204,Bengaluru DC,Air,2025-07-30,2025-08-10,On Time,Delivered
SHIP00205,PO00205,Chennai Port,Road,2025-06-10,2025-06-18,On Time,Delivered
SHIP00206,PO00206,Delhi ICD,Air,2026-03-09,2026-03-30,On Time,Delayed
SHIP00207,PO00207,Mumbai Port,Road,2025-09-14,,On Time,Cancelled
SHIP00208,PO00208,JNPT,Sea,2026-05-26,2026-06-04,On Time,Delivered
SHIP00209,PO00209,Pune DC,Sea,2026-05-18,,On Time,Cancelled
SHIP00210,PO00210,Pune DC,Sea,2025-03-28,2025-04-07,On Time,Delivered
SHIP00211,PO00211,Pune DC,Road,2025-08-27,,On Time,In Transit
SHIP00212,PO00212,JNPT,Air,2026-01-20,,On Time,Pending
SHIP00213,PO00213,Chennai Port,Sea,2026-07-11,,On Time,Pending
SHIP00214,PO00214,Pune DC,Sea,2026-07-04,2026-07-13,On Time,Delivered
SHIP00215,PO00215,Pune DC,Sea,2025-07-12,2025-07-20,On Time,Delivered
SHIP00216,PO00216,Mumbai Port,Air,2026-06-25,2026-06-29,On Time,Delivered
SHIP00217,PO00217,Pune DC,Air,2026-02-27,2026-03-26,On Time,Delayed
SHIP00218,PO00218,Delhi ICD,Sea,2025-04-04,2025-04-09,Delayed,Delivered
SHIP00219,PO00219,Delhi ICD,Rail,2026-07-26,2026-08-07,On Time,Delivered
SHIP00220,PO00220,Hyderabad DC,Sea,2026-03-30,,Delayed,In Transit
SHIP00221,PO00221,Delhi ICD,Air,2026-06-28,2026-07-13,On Time,Delayed
SHIP00222,PO00222,Delhi ICD,Air,2026-08-16,2026-09-05,On Time,Delayed
SHIP00223,PO00223,Delhi ICD,Sea,2025-10-27,2025-11-04,On Time,Delivered
SHIP00224,PO00224,Delhi ICD,Air,2025-01-24,2025-02-02,Delayed,Delivered
SHIP00225,PO00225,Delhi ICD,Road,2026-02-18,2026-03-08,On Time,Delayed
SHIP00226,PO00226,Hyderabad DC,Air,2026-02-13,2026-02-23,Delayed,Delivered
SHIP00227,PO00227,Hyderabad DC,Road,2025-03-31,2025-04-11,On Time,Delivered
SHIP00228,PO00228,Hyderabad DC,Sea,2025-03-21,,Delayed,In Transit
SHIP00229,PO00229,Bengaluru DC,Air,2025-02-03,,On Time,In Transit
SHIP00230,PO00230,Bengaluru DC,Road,2026-01-27,2026-02-02,On Time,Delivered
SHIP00231,PO00231,JNPT,Rail,2025-11-03,2025-11-05,On Time,Delivered
SHIP00232,PO00232,Pune DC,Rail,2025-06-12,2025-06-17,On Time,Delivered
SHIP00233,PO00233,JNPT,Road,2025-11-16,2025-11-21,On Time,Delivered
SHIP00234,PO00234,Chennai Port,Sea,2026-03-19,,On Time,Pending
SHIP00235,PO00235,JNPT,Sea,2025-04-11,,On Time,Cancelled
SHIP00236,PO00236,Hyderabad DC,Sea,2026-02-08,,Delayed,In Transit
SHIP00237,PO00237,Pune DC,Air,2026-08-08,2026-09-01,On Time,Delayed
SHIP00238,PO00238,JNPT,Air,2025-05-29,,On Time,Pending
SHIP00239,PO00239,JNPT,Air,2026-03-24,,Delayed,Pending
SHIP00240,PO00240,Bengaluru DC,Rail,2025-09-27,2025-10-07,On Time,Delivered
SHIP00241,PO00241,Bengaluru DC,Air,2025-04-29,,On Time,In Transit
SHIP00242,PO00242,Hyderabad DC,Rail,2026-02-04,2026-02-11,On Time,Delivered
SHIP00243,PO00243,Bengaluru DC,Sea,2025-05-30,2025-06-26,On Time,Delayed
SHIP00244,PO00244,Mumbai Port,Sea,2025-11-25,2025-11-29,On Time,Delivered
SHIP00245,PO00245,Chennai Port,Rail,2026-05-19,,On Time,Pending
SHIP00246,PO00246,Bengaluru DC,Air,2026-02-13,2026-02-19,At Risk,Delivered
SHIP00247,PO00247,Chennai Port,Sea,2025-07-16,2025-07-27,On Time,Delivered
SHIP00248,PO00248,JNPT,Sea,2025-08-06,,On Time,Cancelled
SHIP00249,PO00249,Delhi ICD,Rail,2026-03-07,,On Time,In Transit
SHIP00250,PO00250,JNPT,Air,2025-06-16,,Delayed,Pending
SHIP00251,PO00251,Bengaluru DC,Road,2026-05-16,2026-05-23,Delayed,Delivered
SHIP00252,PO00252,Bengaluru DC,Sea,2026-03-07,,Delayed,In Transit
SHIP00253,PO00253,Pune DC,Rail,2025-04-10,2025-04-21,Delayed,Delivered
SHIP00254,PO00254,Chennai Port,Road,2025-02-16,,On Time,In Transit
SHIP00255,PO00255,Bengaluru DC,Sea,2026-03-19,,Delayed,Pending
SHIP00256,PO00256,JNPT,Air,2026-06-23,,On Time,In Transit
SHIP00257,PO00257,Delhi ICD,Sea,2026-04-25,2026-05-03,On Time,Delivered
SHIP00258,PO00258,Delhi ICD,Road,2025-01-31,2025-02-05,On Time,Delivered
SHIP00259,PO00259,Bengaluru DC,Road,2025-05-01,2025-05-03,At Risk,Delivered
SHIP00260,PO00260,Mumbai Port,Rail,2025-08-01,,On Time,In Transit
SHIP00261,PO00261,Chennai Port,Air,2026-04-18,2026-04-25,On Time,Delivered
SHIP00262,PO00262,JNPT,Rail,2025-02-03,2025-02-06,On Time,Delivered
SHIP00263,PO00263,Delhi ICD,Road,2025-09-15,2025-09-20,Delayed,Delivered
SHIP00264,PO00264,Bengaluru DC,Rail,2026-04-22,,Delayed,In Transit
SHIP00265,PO00265,Bengaluru DC,Rail,2026-02-22,2026-03-12,Delayed,Delayed
SHIP00266,PO00266,Bengaluru DC,Road,2025-01-13,2025-01-15,Delayed,Delivered
SHIP00267,PO00267,Mumbai Port,Air,2025-03-11,,On Time,Pending
SHIP00268,PO00268,Chennai Port,Rail,2026-04-24,2026-04-27,On Time,Delivered
SHIP00269,PO00269,Chennai Port,Sea,2026-02-12,,Delayed,Pending
SHIP00270,PO00270,Mumbai Port,Air,2026-04-16,,On Time,In Transit
SHIP00271,PO00271,JNPT,Sea,2025-05-21,2025-05-30,On Time,Delivered
SHIP00272,PO00272,Chennai Port,Road,2025-05-26,,Delayed,Pending
SHIP00273,PO00273,Delhi ICD,Sea,2026-03-12,,Delayed,In Transit
SHIP00274,PO00274,JNPT,Sea,2025-07-08,2025-07-15,Delayed,Delivered
SHIP00275,PO00275,Chennai Port,Sea,2026-04-12,,On Time,Pending
SHIP00276,PO00276,Mumbai Port,Air,2025-07-21,2025-07-30,On Time,Delivered
SHIP00277,PO00277,Pune DC,Air,2026-05-29,2026-06-07,Delayed,Delivered
SHIP00278,PO00278,JNPT,Road,2025-02-13,2025-02-15,On Time,Delivered
SHIP00279,PO00279,JNPT,Air,2025-11-02,2025-12-02,Delayed,Delayed
SHIP00280,PO00280,Chennai Port,Rail,2026-06-01,2026-06-07,On Time,Delivered
SHIP00281,PO00281,Pune DC,Sea,2026-07-20,2026-08-01,Delayed,Delivered
SHIP00282,PO00282,Delhi ICD,Road,2025-08-21,2025-09-19,At Risk,Delayed
SHIP00283,PO00283,JNPT,Air,2026-04-08,2026-04-12,On Time,Delivered
SHIP00284,PO00284,Hyderabad DC,Road,2025-09-04,2025-09-15,On Time,Delivered
SHIP00285,PO00285,Delhi ICD,Road,2026-03-22,2026-03-25,At Risk,Delivered
SHIP00286,PO00286,JNPT,Sea,2025-03-13,2025-04-05,Delayed,Delayed
SHIP00287,PO00287,Chennai Port,Road,2025-12-04,,On Time,Pending
SHIP00288,PO00288,Delhi ICD,Sea,2026-06-21,2026-07-03,On Time,Delivered
SHIP00289,PO00289,Hyderabad DC,Air,2025-03-14,,On Time,Pending
SHIP00290,PO00290,Chennai Port,Road,2025-06-10,2025-07-01,On Time,Delayed
SHIP00291,PO00291,Pune DC,Sea,2026-05-24,2026-05-29,On Time,Delivered
SHIP00292,PO00292,Chennai Port,Road,2025-03-20,,On Time,In Transit
SHIP00293,PO00293,Mumbai Port,Road,2026-01-21,2026-01-26,On Time,Delivered
SHIP00294,PO00294,Delhi ICD,Rail,2025-04-14,2025-04-24,At Risk,Delivered
SHIP00295,PO00295,Hyderabad DC,Sea,2026-02-17,,On Time,Pending
SHIP00296,PO00296,Delhi ICD,Road,2025-10-23,2025-11-03,Delayed,Delivered
SHIP00297,PO00297,Mumbai Port,Sea,2025-12-25,2026-01-13,On Time,Delayed
SHIP00298,PO00298,Chennai Port,Sea,2026-04-25,,On Time,Cancelled
SHIP00299,PO00299,JNPT,Road,2026-03-19,2026-03-27,Delayed,Delivered
SHIP00300,PO00300,Delhi ICD,Sea,2025-10-10,2025-10-21,Delayed,Delivered
SHIP00301,PO00301,Mumbai Port,Rail,2025-06-27,,Delayed,In Transit
SHIP00302,PO00302,Mumbai Port,Rail,2026-03-28,2026-04-08,On Time,Delivered
SHIP00303,PO00303,Delhi ICD,Sea,2025-05-21,,On Time,Pending
SHIP00304,PO00304,JNPT,Air,2025-12-29,2026-01-06,On Time,Delivered
SHIP00305,PO00305,Delhi ICD,Sea,2025-04-06,2025-04-11,On Time,Delivered
SHIP00306,PO00306,Bengaluru DC,Air,2025-05-29,2025-06-03,On Time,Delivered
SHIP00307,PO00307,Mumbai Port,Road,2025-03-15,2025-03-22,On Time,Delivered
SHIP00308,PO00308,Bengaluru DC,Rail,2026-01-02,2026-01-04,Delayed,Delivered
SHIP00309,PO00309,Mumbai Port,Rail,2026-04-05,2026-04-09,On Time,Delivered
SHIP00310,PO00310,Pune DC,Road,2026-01-30,2026-02-07,Delayed,Delivered
SHIP00311,PO00311,Mumbai Port,Road,2025-04-08,2025-04-18,On Time,Delivered
SHIP00312,PO00312,Hyderabad DC,Sea,2025-02-05,,On Time,Pending
