sales_order_id,customer_id,product_id,order_date,quantity,unit_price,total_value,order_status
SO00030,CUST00346,PROD0039,2025-03-15,201,6867.56,1380379.56,Delivered
SO00031,CUST00046,PROD0123,2026-03-08,732,38388.19,28100155.08,Pending
SO00032,CUST00452,PROD0057,2026-04-05,128,31128.23,3984413.44,Delivered
SO00033,CUST00237,PROD0119,2026-01-01,439,9480.38,4161886.82,Delivered
SO00034,CUST00199,PROD0063,2025-05-20,402,14822.65,5958705.3,Delivered
SO00035,CUST00261,PROD0158,2025-02-12,568,32200.13,18289673.84,Processing
SO00036,CUST00136,PROD0127,2026-05-23,384,30273.36,11624970.24,Shipped
SO00037,CUST00482,PROD0074,2025-09-03,515,37319.7,19219645.5,Delivered
SO00038,CUST00435,PROD0049,2025-12-29,457,7660.19,3500706.83,Shipped
SO00039,CUST00493,PROD0193,2025-01-29,246,16397.33,4033743.18,Delivered
SO00040,CUST00244,PROD0073,2026-07-25,26,11692.6,304007.6,Delivered
SO00041,CUST00216,PROD0120,2026-05-07,364,6603.45,2403655.8,Processing
SO00042,CUST00103,PROD0077,2025-12-26,91,21572.93,1963136.63,Shipped
SO00043,CUST00334,PROD0199,2025-08-01,213,7983.67,1700521.71,Processing
SO00044,CUST00330,PROD0184,2025-02-03,48,28006.95,1344333.6,Delivered
SO00045,CUST00408,PROD0105,2025-02-04,382,19582.93,7480679.26,Shipped
SO00046,CUST00124,PROD0191,2025-06-03,298,12245.76,3649236.48,Delivered
SO00047,CUST00491,PROD0086,2026-06-22,671,2828.19,1897715.49,Delivered
SO00048,CUST00489,PROD0047,2025-12-17,206,29588.32,6095193.92,Delivered
SO00049,CUST00221,PROD0009,2026-02-26,647,26299.91,17016041.77,Pending
SO00050,CUST00442,PROD0010,2025-01-14,267,14803.95,3952654.65,Pending
SO00051,CUST00378,PROD0021,2026-08-08,72,11987.4,863092.8,Delivered
SO00052,CUST00300,PROD0193,2025-11-12,682,15672.1,10688372.2,Delivered
SO00053,CUST00308,PROD0177,2025-03-22,613,25747.97,15783505.61,Processing
SO00054,CUST00427,PROD0081,2026-02-13,83,1415.8,117511.4,Delivered
SO00055,CUST00258,PROD0056,2025-11-22,459,32699.53,15009084.27,Delivered
SO00056,CUST00040,PROD0080,2026-03-13,748,5837.07,4366128.36,Delivered
SO00057,CUST00262,PROD0165,2025-04-06,664,30548.3,20284071.2,Processing
SO00058,CUST00144,PROD0185,2025-01-01,473,7834.89,3705902.97,Delivered
SO00059,CUST00281,PROD0038,2026-01-28,726,27256.81,19788444.06,Shipped
SO00060,CUST00189,PROD0104,2025-05-17,352,10352.78,3644178.56,Processing
SO00061,CUST00270,PROD0165,2025-01-18,634,26422.45,16751833.3,Shipped
SO00062,CUST00355,PROD0060,2025-08-27,4,23987.97,95951.88,Processing
SO00063,CUST00255,PROD0109,2025-07-10,293,13768.63,4034208.59,Delivered
SO00064,CUST00349,PROD0062,2026-05-08,639,28380.55,18135171.45,Delivered
SO00065,CUST00035,PROD0065,2025-06-09,57,8052.93,459017.01,Delivered
SO00066,CUST00273,PROD0100,2025-04-01,386,21313.51,8227014.86,Processing
SO00067,CUST00445,PROD0063,2026-04-07,219,15444.29,3382299.51,Pending
SO00068,CUST00233,PROD0188,2025-09-17,513,27912.49,14319107.37,Delivered
SO00069,CUST00443,PROD0078,2025-11-03,132,20730.44,2736418.08,Delivered
SO00070,CUST00145,PROD0027,2025-09-26,18,24753.85,445569.3,Shipped
SO00071,CUST00470,PROD0185,2025-06-20,232,7972.56,1849633.92,Processing
SO00072,CUST00430,PROD0092,2025-08-20,85,9376.7,797019.5,Shipped
SO00073,CUST00212,PROD0080,2026-02-21,509,6253.58,3183072.22,Delivered
SO00074,CUST00497,PROD0053,2025-04-03,376,3218.93,1210317.68,Shipped
SO00075,CUST00073,PROD0091,2025-01-09,527,31643.65,16676203.55,Delivered
SO00076,CUST00396,PROD0082,2026-03-05,548,24791.09,13585517.32,Delivered
SO00077,CUST00398,PROD0138,2026-06-24,374,25284.56,9456425.44,Shipped
SO00078,CUST00282,PROD0155,2026-05-16,336,9705.3,3260980.8,Processing
SO00079,CUST00415,PROD0148,2025-03-01,536,29240.05,15672666.8,Pending
SO00080,CUST00470,PROD0044,2025-03-19,568,10756.78,6109851.04,Delivered
SO00081,CUST00430,PROD0029,2026-06-16,386,8920.44,3443289.84,Shipped
SO00082,CUST00111,PROD0138,2025-07-02,211,28085.8,5926103.8,Delivered
SO00083,CUST00160,PROD0137,2025-08-14,586,22852.7,13391682.2,Pending
SO00084,CUST00375,PROD0015,2025-02-12,201,11778.03,2367384.03,Delivered
SO00085,CUST00444,PROD0099,2025-09-22,194,2338.05,453581.7,Shipped
SO00086,CUST00160,PROD0041,2025-06-27,106,34153.13,3620231.78,Pending
SO00087,CUST00238,PROD0191,2026-08-12,248,13350.14,3310834.72,Pending
SO00088,CUST00377,PROD0027,2026-08-25,178,17703.98,3151308.44,Delivered
SO00089,CUST00464,PROD0050,2026-04-29,303,3767.49,1141549.47,Delivered
SO00090,CUST00046,PROD0051,2026-02-16,256,20390.11,5219868.16,Pending
SO00091,CUST00186,PROD0051,2025-12-31,56,28449.64,1593179.84,Delivered
SO00092,CUST00098,PROD0016,2025-02-09,315,14164.61,4461852.15,Delivered
SO00093,CUST00046,PROD0172,2026-06-30,730,6564.09,4791785.7,Delivered
SO00094,CUST00185,PROD0158,2026-02-22,563,25694.78,14466161.14,Shipped
SO00095,CUST00234,PROD0105,2025-11-24,725,19845.92,14388292.0,Shipped
SO00096,CUST00167,PROD0078,2025-11-09,123,28376.71,3490335.33,Shipped
SO00097,CUST00306,PROD0152,2025-07-08,101,9003.63,909366.63,Pending
SO00098,CUST00175,PROD0040,2025-10-01,57,13101.97,746812.29,Shipped
SO00099,CUST00012,PROD0108,2025-04-16,108,17577.53,1898373.24,Shipped
SO00100,CUST00354,PROD0158,2026-01-25,96,22655.48,2174926.08,Pending
SO00101,CUST00326,PROD0034,2026-06-24,164,2473.82,405706.48,Delivered
SO00102,CUST00208,PROD0138,2025-05-07,145,23259.77,3372666.65,Processing
SO00103,CUST00078,PROD0176,2025-05-09,86,16569.37,1424965.82,Processing
SO00104,CUST00088,PROD0167,2026-02-16,391,29497.31,11533448.21,Processing
SO00105,CUST00489,PROD0038,2026-01-26,32,26407.0,845024.0,Processing
SO00106,CUST00294,PROD0182,2026-05-24,89,15154.99,1348794.11,Delivered
SO00107,CUST00118,PROD0036,2026-08-06,678,15107.41,10242823.98,Processing
SO00108,CUST00253,PROD0034,2025-12-27,136,2373.27,322764.72,Delivered
SO00109,CUST00081,PROD0038,2025-07-26,32,21585.38,690732.16,Shipped
SO00110,CUST00468,PROD0069,2026-04-20,573,30817.16,17658232.68,Processing
SO00111,CUST00131,PROD0049,2025-05-12,570,6892.8,3928896.0,Delivered
SO00112,CUST00046,PROD0076,2025-12-25,343,7099.06,2434977.58,Shipped
SO00113,CUST00170,PROD0174,2025-02-15,525,37593.04,19736346.0,Shipped
SO00114,CUST00362,PROD0038,2025-01-24,647,30590.96,19792351.12,Delivered
SO00115,CUST00023,PROD0074,2026-01-25,566,28284.72,16009151.52,Shipped
SO00116,CUST00135,PROD0004,2025-07-06,429,4535.13,1945570.77,Pending
SO00117,CUST00135,PROD0116,2026-05-04,409,7662.4,3133921.6,Processing
SO00118,CUST00022,PROD0184,2025-12-16,594,22292.4,13241685.6,Pending
SO00119,CUST00498,PROD0187,2026-05-30,599,27383.12,16402488.88,Delivered
SO00120,CUST00105,PROD0010,2025-09-23,97,17295.53,1677666.41,Delivered
SO00121,CUST00221,PROD0035,2025-12-29,226,16283.65,3680104.9,Processing
SO00122,CUST00475,PROD0131,2026-06-05,454,14491.67,6579218.18,Delivered
SO00123,CUST00357,PROD0158,2026-03-12,639,31293.67,19996655.13,Delivered
SO00124,CUST00338,PROD0014,2026-02-03,427,20865.34,8909500.18,Pending
SO00125,CUST00432,PROD0152,2025-05-22,24,11972.25,287334.0,Cancelled
SO00126,CUST00285,PROD0098,2025-07-18,10,21959.76,219597.6,Processing
SO00127,CUST00142,PROD0171,2026-08-27,458,18907.22,8659506.76,Delivered
SO00128,CUST00316,PROD0004,2026-08-15,220,4105.73,903260.6,Delivered
SO00129,CUST00390,PROD0185,2025-05-05,748,6522.62,4878919.76,Cancelled
SO00130,CUST00409,PROD0196,2026-08-24,331,31936.61,10571017.91,Processing
SO00131,CUST00149,PROD0079,2026-08-07,76,29832.15,2267243.4,Shipped
SO00132,CUST00236,PROD0145,2025-09-23,749,12384.05,9275653.45,Delivered
SO00133,CUST00226,PROD0033,2025-11-12,575,4786.34,2752145.5,Delivered
SO00134,CUST00491,PROD0189,2025-04-06,419,8675.53,3635047.07,Processing
SO00135,CUST00170,PROD0187,2026-08-01,227,23419.72,5316276.44,Shipped
SO00136,CUST00005,PROD0143,2026-05-21,262,27420.48,7184165.76,Shipped
SO00137,CUST00418,PROD0161,2026-02-18,542,13910.35,7539409.7,Delivered
SO00138,CUST00195,PROD0177,2025-12-06,677,22276.13,15080940.01,Pending
SO00139,CUST00397,PROD0170,2026-01-12,679,20556.55,13957897.45,Delivered
SO00140,CUST00270,PROD0043,2025-06-12,735,4861.36,3573099.6,Delivered
SO00141,CUST00270,PROD0056,2025-04-24,158,26588.74,4201020.92,Delivered
SO00142,CUST00460,PROD0131,2026-03-24,527,12527.17,6601818.59,Processing
SO00143,CUST00349,PROD0109,2025-11-02,497,14006.48,6961220.56,Processing
SO00144,CUST00010,PROD0157,2026-05-30,409,23640.85,9669107.65,Shipped
SO00145,CUST00246,PROD0069,2025-08-13,288,33768.85,9725428.8,Pending
SO00146,CUST00172,PROD0038,2026-05-02,82,23428.52,1921138.64,Processing
SO00147,CUST00481,PROD0123,2025-03-25,331,39102.73,12943003.63,Shipped
SO00148,CUST00308,PROD0161,2025-12-04,163,14763.76,2406492.88,Shipped
SO00149,CUST00141,PROD0138,2026-05-16,726,23626.97,17153180.22,Delivered
SO00150,CUST00362,PROD0163,2025-03-07,299,5513.82,1648632.18,Delivered
SO00151,CUST00220,PROD0114,2025-06-10,331,17656.75,5844384.25,Pending
SO00152,CUST00405,PROD0158,2025-05-01,634,27714.61,17571062.74,Delivered
SO00153,CUST00138,PROD0157,2025-08-18,417,24402.45,10175821.65,Delivered
SO00154,CUST00399,PROD0165,2026-01-02,447,29364.9,13126110.3,Delivered
SO00155,CUST00226,PROD0136,2026-02-17,614,13861.24,8510801.36,Pending
SO00156,CUST00468,PROD0013,2025-01-09,580,17170.42,9958843.6,Delivered
SO00157,CUST00419,PROD0048,2026-06-01,63,25441.4,1602808.2,Delivered
SO00158,CUST00429,PROD0010,2025-07-16,88,16480.74,1450305.12,Delivered
SO00159,CUST00334,PROD0164,2026-05-02,159,15245.8,2424082.2,Delivered
SO00160,CUST00269,PROD0072,2025-05-10,555,8625.66,4787241.3,Delivered
SO00161,CUST00246,PROD0098,2025-06-21,421,19291.52,8121729.92,Processing
SO00162,CUST00393,PROD0066,2026-06-17,447,1166.64,521488.08,Delivered
SO00163,CUST00412,PROD0163,2025-03-26,519,5513.99,2861760.81,Delivered
SO00164,CUST00101,PROD0077,2025-07-28,567,20873.06,11835025.02,Pending
SO00165,CUST00446,PROD0057,2025-12-08,450,29694.27,13362421.5,Delivered
SO00166,CUST00205,PROD0103,2026-06-24,498,17609.5,8769531.0,Delivered
SO00167,CUST00140,PROD0107,2025-09-25,17,21257.24,361373.08,Processing
SO00168,CUST00021,PROD0158,2026-02-07,448,27624.6,12375820.8,Delivered
SO00169,CUST00325,PROD0180,2026-02-17,142,15434.11,2191643.62,Delivered
SO00170,CUST00384,PROD0053,2025-12-07,405,4466.81,1809058.05,Pending
SO00171,CUST00320,PROD0147,2025-11-03,65,2409.87,156641.55,Shipped
SO00172,CUST00421,PROD0090,2026-06-28,419,33552.18,14058363.42,Processing
SO00173,CUST00412,PROD0129,2025-06-07,374,20903.77,7818009.98,Delivered
SO00174,CUST00451,PROD0092,2025-03-29,329,10032.54,3300705.66,Pending
SO00175,CUST00286,PROD0063,2025-08-11,21,16150.24,339155.04,Delivered
SO00176,CUST00282,PROD0036,2025-11-24,92,15701.43,1444531.56,Delivered
SO00177,CUST00134,PROD0056,2026-03-03,622,28001.34,17416833.48,Delivered
SO00178,CUST00137,PROD0074,2026-06-09,405,27939.37,11315444.85,Processing
SO00179,CUST00426,PROD0124,2025-01-23,352,4287.11,1509062.72,Shipped
SO00180,CUST00357,PROD0146,2026-07-31,103,24612.02,2535038.06,Delivered
SO00181,CUST00192,PROD0095,2026-05-10,71,1073.13,76192.23,Shipped
SO00182,CUST00154,PROD0025,2025-10-11,315,20119.38,6337604.7,Delivered
SO00183,CUST00345,PROD0026,2025-07-30,440,32209.53,14172193.2,Processing
SO00184,CUST00267,PROD0195,2025-07-02,690,11567.96,7981892.4,Processing
SO00185,CUST00340,PROD0147,2025-12-11,488,2588.98,1263422.24,Delivered
SO00186,CUST00195,PROD0200,2025-12-25,327,35524.86,11616629.22,Delivered
SO00187,CUST00186,PROD0084,2025-01-20,311,12893.3,4009816.3,Delivered
SO00188,CUST00327,PROD0079,2025-08-04,228,34191.28,7795611.84,Delivered
SO00189,CUST00337,PROD0127,2026-04-28,105,27197.82,2855771.1,Delivered
SO00190,CUST00090,PROD0037,2026-08-01,744,10719.73,7975479.12,Processing
SO00191,CUST00250,PROD0104,2025-02-25,711,7884.59,5605943.49,Pending
SO00192,CUST00108,PROD0093,2025-12-21,608,6025.22,3663333.76,Delivered
SO00193,CUST00340,PROD0013,2025-02-22,113,12513.06,1413975.78,Delivered
SO00194,CUST00237,PROD0117,2025-09-16,235,16785.41,3944571.35,Processing
SO00195,CUST00124,PROD0170,2025-09-27,74,22760.1,1684247.4,Shipped
SO00196,CUST00248,PROD0035,2026-07-04,178,15277.23,2719346.94,Delivered
SO00197,CUST00173,PROD0103,2026-05-28,261,17605.81,4595116.41,Delivered
SO00198,CUST00159,PROD0025,2026-05-15,403,19600.72,7899090.16,Pending
SO00199,CUST00240,PROD0055,2026-01-19,635,2906.57,1845671.95,Delivered
SO00200,CUST00275,PROD0094,2025-05-29,382,13392.15,5115801.3,Delivered
SO00201,CUST00403,PROD0089,2026-08-20,498,14489.79,7215915.42,Delivered
SO00202,CUST00186,PROD0129,2026-05-15,101,20286.12,2048898.12,Delivered
SO00203,CUST00404,PROD0136,2025-06-09,269,14959.8,4024186.2,Delivered
SO00204,CUST00211,PROD0043,2025-07-18,245,4268.55,1045794.75,Shipped
SO00205,CUST00228,PROD0001,2025-11-06,308,6365.97,1960718.76,Delivered
SO00206,CUST00414,PROD0152,2026-02-15,456,10969.39,5002041.84,Delivered
SO00207,CUST00343,PROD0152,2026-05-20,501,11315.89,5669260.89,Shipped
SO00208,CUST00499,PROD0075,2025-09-09,128,24891.24,3186078.72,Shipped
SO00209,CUST00175,PROD0011,2026-08-09,531,26985.14,14329109.34,Processing
SO00210,CUST00191,PROD0183,2025-10-18,413,2694.71,1112915.23,Delivered
SO00211,CUST00312,PROD0100,2025-07-15,104,21185.0,2203240.0,Delivered
SO00212,CUST00338,PROD0011,2025-02-01,108,24363.68,2631277.44,Delivered
SO00213,CUST00236,PROD0147,2026-01-28,662,2586.38,1712183.56,Delivered
SO00214,CUST00222,PROD0180,2026-07-11,612,13554.82,8295549.84,Processing
SO00215,CUST00349,PROD0026,2025-11-18,408,32063.0,13081704.0,Delivered
SO00216,CUST00297,PROD0200,2026-01-09,243,36608.62,8895894.66,Shipped
SO00217,CUST00218,PROD0114,2026-08-23,412,17142.15,7062565.8,Delivered
SO00218,CUST00405,PROD0110,2025-07-22,499,35398.65,17663926.35,Delivered
SO00219,CUST00361,PROD0135,2025-12-31,609,3426.56,2086775.04,Processing
SO00220,CUST00066,PROD0035,2026-04-11,547,16429.3,8986827.1,Delivered
SO00221,CUST00496,PROD0055,2025-03-29,237,3048.48,722489.76,Pending
SO00222,CUST00314,PROD0002,2025-07-18,77,8878.32,683630.64,Delivered
SO00223,CUST00467,PROD0080,2026-04-25,169,6285.98,1062330.62,Delivered
SO00224,CUST00222,PROD0104,2025-08-21,689,10168.36,7006000.04,Delivered
SO00225,CUST00212,PROD0114,2026-08-05,65,18824.61,1223599.65,Delivered
SO00226,CUST00101,PROD0181,2025-01-23,684,27610.72,18885732.48,Delivered
SO00227,CUST00345,PROD0185,2026-04-13,234,8031.75,1879429.5,Shipped
SO00228,CUST00432,PROD0094,2026-03-24,575,15916.66,9152079.5,Delivered
SO00229,CUST00263,PROD0045,2025-01-26,351,10003.09,3511084.59,Cancelled
SO00230,CUST00122,PROD0187,2026-03-02,483,30570.02,14765319.66,Pending
SO00231,CUST00073,PROD0130,2025-03-11,536,30951.71,16590116.56,Pending
SO00232,CUST00046,PROD0033,2025-04-17,689,4560.62,3142267.18,Delivered
SO00233,CUST00039,PROD0068,2025-06-20,642,32334.29,20758614.18,Delivered
SO00234,CUST00413,PROD0097,2025-06-12,85,26645.24,2264845.4,Processing
SO00235,CUST00291,PROD0038,2026-07-14,342,29214.65,9991410.3,Pending
SO00236,CUST00389,PROD0195,2026-02-08,327,10326.08,3376628.16,Delivered
SO00237,CUST00194,PROD0096,2025-10-07,717,2287.27,1639972.59,Delivered
SO00238,CUST00144,PROD0074,2025-11-21,79,29350.35,2318677.65,Delivered
SO00239,CUST00341,PROD0196,2026-06-30,713,27586.63,19669267.19,Delivered
SO00240,CUST00097,PROD0131,2026-04-06,19,14283.29,271382.51,Delivered
SO00241,CUST00283,PROD0166,2025-07-31,659,28293.48,18645403.32,Shipped
SO00242,CUST00228,PROD0185,2025-08-10,440,7229.06,3180786.4,Shipped
SO00243,CUST00399,PROD0072,2026-07-04,509,9062.77,4612949.93,Delivered
SO00244,CUST00085,PROD0008,2025-05-18,77,28307.39,2179669.03,Processing
SO00245,CUST00125,PROD0083,2025-07-23,274,23544.07,6451075.18,Pending
SO00246,CUST00095,PROD0114,2025-04-24,174,16311.76,2838246.24,Pending
SO00247,CUST00101,PROD0001,2025-01-12,521,7750.12,4037812.52,Shipped
SO00248,CUST00240,PROD0124,2025-10-26,48,5556.66,266719.68,Delivered
SO00249,CUST00339,PROD0171,2026-03-08,495,15979.0,7909605.0,Cancelled
SO00250,CUST00398,PROD0120,2025-08-31,387,6795.69,2629932.03,Processing
SO00251,CUST00248,PROD0108,2025-01-03,670,15055.15,10086950.5,Pending
SO00252,CUST00095,PROD0025,2026-03-03,511,16737.55,8552888.05,Delivered
SO00253,CUST00433,PROD0133,2026-06-21,405,17607.76,7131142.8,Shipped
SO00254,CUST00257,PROD0100,2025-04-16,589,23202.42,13666225.38,Delivered
SO00255,CUST00199,PROD0077,2025-06-15,671,24060.84,16144823.64,Delivered
SO00256,CUST00240,PROD0077,2026-03-16,112,26626.01,2982113.12,Delivered
SO00257,CUST00166,PROD0184,2025-02-07,702,29903.4,20992186.8,Processing
SO00258,CUST00199,PROD0065,2025-01-21,583,7004.24,4083471.92,Processing
SO00259,CUST00331,PROD0004,2026-05-14,235,3776.02,887364.7,Delivered
SO00260,CUST00362,PROD0153,2025-04-28,462,31333.01,14475850.62,Delivered
SO00261,CUST00378,PROD0096,2025-03-12,573,2640.09,1512771.57,Delivered
SO00262,CUST00073,PROD0149,2026-07-12,401,21827.36,8752771.36,Delivered
SO00263,CUST00090,PROD0031,2025-10-11,341,3235.13,1103179.33,Delivered
SO00264,CUST00327,PROD0102,2025-09-12,747,14979.66,11189806.02,Pending
SO00265,CUST00206,PROD0001,2025-06-25,144,6831.86,983787.84,Delivered
SO00266,CUST00282,PROD0182,2025-01-26,523,13616.36,7121356.28,Shipped
SO00267,CUST00006,PROD0037,2026-06-11,618,11881.1,7342519.8,Shipped
SO00268,CUST00280,PROD0060,2026-01-12,516,24811.09,12802522.44,Delivered
SO00269,CUST00003,PROD0105,2025-03-26,371,19974.38,7410494.98,Pending
SO00270,CUST00436,PROD0022,2025-12-01,492,15935.01,7840024.92,Pending
SO00271,CUST00294,PROD0056,2026-01-22,707,31780.39,22468735.73,Delivered
SO00272,CUST00377,PROD0021,2025-06-16,312,11916.54,3717960.48,Shipped
SO00273,CUST00078,PROD0140,2025-04-01,251,1189.4,298539.4,Processing
SO00274,CUST00263,PROD0163,2026-01-12,597,5041.45,3009745.65,Processing
SO00275,CUST00478,PROD0057,2025-01-13,348,30319.87,10551314.76,Pending
SO00276,CUST00052,PROD0127,2026-04-10,505,24368.22,12305951.1,Processing
SO00277,CUST00099,PROD0009,2025-01-28,354,23735.2,8402260.8,Delivered
SO00278,CUST00458,PROD0147,2025-02-28,311,2373.64,738202.04,Delivered
SO00279,CUST00003,PROD0085,2026-01-27,96,4765.98,457534.08,Delivered
SO00280,CUST00390,PROD0163,2025-08-26,647,4771.02,3086849.94,Delivered
SO00281,CUST00230,PROD0099,2025-09-02,573,2337.8,1339559.4,Shipped
SO00282,CUST00392,PROD0104,2026-04-10,469,8634.12,4049402.28,Shipped
SO00283,CUST00005,PROD0100,2025-03-04,287,23222.98,6664995.26,Delivered
SO00284,CUST00410,PROD0184,2026-08-25,466,29106.14,13563461.24,Shipped
SO00285,CUST00432,PROD0021,2025-08-27,655,15863.22,10390409.1,Shipped
SO00286,CUST00117,PROD0058,2025-02-15,182,2266.03,412417.46,Shipped
SO00287,CUST00171,PROD0194,2026-04-08,512,20153.28,10318479.36,Delivered
SO00288,CUST00060,PROD0200,2025-12-15,1,31832.69,31832.69,Delivered
SO00289,CUST00440,PROD0012,2026-07-01,601,10513.74,6318757.74,Pending
SO00290,CUST00372,PROD0056,2026-03-26,120,29924.7,3590964.0,Cancelled
SO00291,CUST00011,PROD0088,2026-02-01,297,3656.26,1085909.22,Delivered
SO00292,CUST00457,PROD0093,2026-08-21,594,6619.81,3932167.14,Delivered
SO00293,CUST00212,PROD0031,2026-05-04,108,2366.77,255611.16,Processing
SO00294,CUST00243,PROD0101,2026-08-13,315,5044.87,1589134.05,Delivered
SO00295,CUST00215,PROD0088,2025-12-26,473,3636.43,1720031.39,Processing
SO00296,CUST00078,PROD0043,2026-04-12,397,5130.33,2036741.01,Delivered
SO00297,CUST00173,PROD0069,2026-06-04,697,26861.1,18722186.7,Delivered
SO00298,CUST00312,PROD0130,2025-01-11,265,37952.93,10057526.45,Delivered
SO00299,CUST00380,PROD0107,2025-12-24,12,25561.86,306742.32,Delivered
SO00300,CUST00374,PROD0153,2026-08-28,187,34016.96,6361171.52,Pending
SO00301,CUST00035,PROD0056,2026-02-22,532,25312.07,13466021.24,Delivered
SO00302,CUST00244,PROD0009,2026-07-16,640,27089.74,17337433.6,Delivered
SO00303,CUST00456,PROD0117,2026-03-28,450,15792.43,7106593.5,Delivered
SO00304,CUST00292,PROD0145,2025-07-30,417,12937.27,5394841.59,Delivered
SO00305,CUST00302,PROD0048,2026-04-25,455,18837.35,8570994.25,Shipped
SO00306,CUST00485,PROD0113,2025-02-26,245,39874.35,9769215.75,Delivered
SO00307,CUST00306,PROD0108,2026-07-22,177,13342.31,2361588.87,Shipped
SO00308,CUST00277,PROD0168,2026-02-21,172,11699.24,2012269.28,Delivered
SO00309,CUST00351,PROD0199,2025-07-17,248,7956.07,1973105.36,Delivered
SO00310,CUST00476,PROD0059,2026-08-27,259,26093.31,6758167.29,Delivered
SO00311,CUST00417,PROD0182,2026-02-15,29,15625.51,453139.79,Pending
SO00312,CUST00290,PROD0067,2026-01-22,725,6654.31,4824374.75,Pending
SO00313,CUST00314,PROD0089,2026-02-13,671,11367.33,7627478.43,Delivered
SO00314,CUST00451,PROD0101,2026-07-05,331,4872.03,1612641.93,Processing
SO00315,CUST00070,PROD0130,2025-04-03,352,29123.2,10251366.4,Shipped
SO00316,CUST00017,PROD0098,2025-02-19,272,17124.79,4657942.88,Pending
SO00317,CUST00173,PROD0074,2026-07-24,545,34229.8,18655241.0,Pending
SO00318,CUST00055,PROD0030,2025-09-09,593,17685.12,10487276.16,Shipped
SO00319,CUST00402,PROD0003,2026-06-17,263,19413.19,5105668.97,Delivered
SO00320,CUST00464,PROD0037,2025-11-15,543,14770.2,8020218.6,Delivered
SO00321,CUST00211,PROD0195,2026-03-31,310,12416.16,3849009.6,Delivered
SO00322,CUST00246,PROD0143,2025-01-31,435,24530.09,10670589.15,Processing
SO00323,CUST00279,PROD0102,2026-04-03,29,18573.23,538623.67,Delivered
SO00324,CUST00487,PROD0034,2026-08-28,173,1991.22,344481.06,Pending
SO00325,CUST00018,PROD0024,2026-05-08,637,7290.41,4643991.17,Pending
SO00326,CUST00206,PROD0107,2026-07-28,214,26500.69,5671147.66,Shipped
SO00327,CUST00277,PROD0121,2025-05-15,580,22676.47,13152352.6,Processing
SO00328,CUST00255,PROD0052,2026-06-16,717,17653.21,12657351.57,Shipped
SO00329,CUST00291,PROD0093,2025-11-14,419,5346.88,2240342.72,Pending
SO00330,CUST00469,PROD0171,2026-05-01,592,15708.23,9299272.16,Delivered
SO00331,CUST00005,PROD0061,2026-03-14,200,6806.47,1361294.0,Processing
SO00332,CUST00004,PROD0121,2026-06-03,5,18334.11,91670.55,Delivered
SO00333,CUST00092,PROD0135,2025-02-12,500,3297.02,1648510.0,Shipped
SO00334,CUST00481,PROD0006,2025-06-03,151,22135.65,3342483.15,Shipped
